数量          月份
ApplicationCount Application Date
----------- -------
1           2011-01
1           2011-04
1           2013-02
1           2015-05
1           2015-08
1           2015-09
3           2015-11
904         2015-12
3079        2016-01
2028        2016-02
3738        2016-03
2913        2016-04
3380        2016-05
3850        2016-06
2918        2016-07
3975        2016-08
5264        2016-09
4775        2016-10
6194        2016-11
5598        2016-12
4040        2017-01
3087        2017-02
6199        2017-03
4049        2017-04
4075        2017-05
4262        2017-06
11260       2017-07
534         2017-08

(28 行受影响)

