name,rows,reserved,data,index_size,unused
A_Accountant_Solicitor,0,0 KB,0 KB,0 KB,0 KB
A_Applicant,86120,536392 KB,102800 KB,429784 KB,3808 KB
A_Application,86120,517112 KB,71408 KB,441152 KB,4552 KB
A_Batch_Loads,0,0 KB,0 KB,0 KB,0 KB
A_CaseDiaryNotes,0,0 KB,0 KB,0 KB,0 KB
A_Cases,0,16 KB,8 KB,8 KB,0 KB
A_CBA,0,0 KB,0 KB,0 KB,0 KB
A_CBB,0,0 KB,0 KB,0 KB,0 KB
A_CBC,0,0 KB,0 KB,0 KB,0 KB
A_CreditBureau,0,0 KB,0 KB,0 KB,0 KB
A_Diary_Notes,223156,190200 KB,93336 KB,96456 KB,408 KB
A_Guarantor,86114,146056 KB,40720 KB,104656 KB,680 KB
A_Introducer_Agent,86107,67224 KB,23408 KB,43432 KB,384 KB
A_PreviousAddress_Company,0,0 KB,0 KB,0 KB,0 KB
A_Reference,86114,85584 KB,31384 KB,53672 KB,528 KB
A_Security,0,0 KB,0 KB,0 KB,0 KB
A_U2A,0,0 KB,0 KB,0 KB,0 KB
A_U2B,0,0 KB,0 KB,0 KB,0 KB
A_U2C,0,0 KB,0 KB,0 KB,0 KB
A_UCA,0,0 KB,0 KB,0 KB,0 KB
A_UCB,0,0 KB,0 KB,0 KB,0 KB
A_UCC,0,0 KB,0 KB,0 KB,0 KB
A_User,86107,142560 KB,24200 KB,117536 KB,824 KB
A_User2,0,0 KB,0 KB,0 KB,0 KB
A_Valuer,0,0 KB,0 KB,0 KB,0 KB
Abbreviation_Match,6,48 KB,8 KB,40 KB,0 KB
Abbreviation_Match_Requests,1716,64 KB,48 KB,16 KB,0 KB
Abbreviation_Match_Results,8596,392 KB,376 KB,16 KB,0 KB
ActionDecision_Fields,2,16 KB,8 KB,8 KB,0 KB
Applicant_Audit,0,0 KB,0 KB,0 KB,0 KB
Application_Actions,18,32 KB,8 KB,24 KB,0 KB
Application_Audit,0,0 KB,0 KB,0 KB,0 KB
Application_Errors,0,0 KB,0 KB,0 KB,0 KB
Application_Read,0,0 KB,0 KB,0 KB,0 KB
Application_Type,1,24 KB,8 KB,16 KB,0 KB
Application_Weights,0,0 KB,0 KB,0 KB,0 KB
Audit_Log,32210,4656 KB,4560 KB,56 KB,40 KB
Auto_Action_Criteria,1,16 KB,8 KB,8 KB,0 KB
Auto_Fraud_Check_Fields,9,16 KB,8 KB,8 KB,0 KB
Auto_Fraud_Check_Results,33,48 KB,24 KB,24 KB,0 KB
Batch_Cancel,0,0 KB,0 KB,0 KB,0 KB
C_Accountant_Solicitor,0,0 KB,0 KB,0 KB,0 KB
C_Applicant,2,608 KB,8 KB,600 KB,0 KB
C_Application,2,656 KB,8 KB,648 KB,0 KB
C_Batch_Loads,0,0 KB,0 KB,0 KB,0 KB
C_CBA,0,0 KB,0 KB,0 KB,0 KB
C_CBB,0,0 KB,0 KB,0 KB,0 KB
C_CBC,0,0 KB,0 KB,0 KB,0 KB
